"대학명","학제별","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 교직원장학금","교내장학금 기타","총계(원)"
"강릉원주대학교","대학","국공립","강원","17317232845","16552772900","168818750","595641195","6484552660","3579442150","1374098800","467934820","","1063076890","23801785505"
"강원대학교","대학","국공립","강원","39111149954","34528654459","2590204560","1992290935","13683601210","5482608740","2364854090","3125619790","","2710518590","52794751164"
"경남과학기술대학교","대학","국공립","경남","10183218410","9908660200","7628680","266929530","3178602710","1932711210","162331440","211164080","","872395980","13361821120"
"경북대학교","대학","국공립","대구","42162949470","38805556520","79932320","3277460630","16145190460","8117223720","3647004230","1678977730","","2701984780","58308139930"
"경상대학교","대학","국공립","경남","28125376648","27014417538","151706530","959252580","9402429840","3964548000","1931505720","2109271120","","1397105000","37527806488"
"경인교육대학교","대학","국공립","인천","3880369220","3391857900","112981080","375530240","2213280290","613943500","430821500","463891440","","704623850","6093649510"
"공주교육대학교","대학","국공립","충남","2089189290","2032375250","29118040","27696000","1054027590","423015000","61412000","212777590","","356823000","3143216880"
"공주대학교","대학","국공립","충남","24977146417","24119720497","201606570","655819350","8550924580","3207244500","2337891990","1305293140","","1700494950","33528070997"
"광주과학기술원","대학","국공립","광주","436922360","436922360","","","3796673230","160573500","120510000","17074730","","3498515000","4233595590"
"광주교육대학교","대학","국공립","광주","3387724150","2806721990","472058160","108944000","1145905220","220850000","141249500","368530050","","415275670","4533629370"
"군산대학교","대학","국공립","전북","14781380700","14155980570","252465970","372934160","4499394190","2476389980","705359700","172802760","","1144841750","19280774890"
"금오공과대학교","대학","국공립","경북","12273243020","11695939530","47670990","529632500","3406991390","1370512340","1188021200","384504050","","463953800","15680234410"
"대구경북과학기술원","대학","국공립","대구","116973960","114573960","","2400000","2138527040","52000000","74400000","47544540","","1964582500","2255501000"
"대구교육대학교","대학","국공립","대구","2621694160","2270593300","77099000","274001860","1099526270","349067000","330143500","236044770","","184271000","3721220430"
"목포대학교","대학","국공립","전남","16768491190","16203196380","230268810","335026000","4668487930","1625032990","692709830","910364830","","1440380280","21436979120"
"목포해양대학교","대학","국공립","전남","4874968280","4389504280","22500000","462964000","1213700200","791683500","80388000","123911200","","217717500","6088668480"
"부경대학교","대학","국공립","부산","31719000410","30005260330","75633150","1638106930","10220745720","2902413550","3243827570","1854450710","","2220053890","41939746130"
"부산교육대학교","대학","국공립","부산","2489062390","1951727410","317582500","219752480","1020259910","433690000","94734000","238011240","","253824670","3509322300"
"부산대학교","대학","국공립","부산","40413874760","36935851570","861881940","2616141250","15778049810","7104371180","4335625390","1648038300","","2690014940","56191924570"
"서울과학기술대학교","대학","국공립","서울","20030140085","19078198110","59345740","892596235","11940776960","2472282600","1891027940","2444319470","","5133146950","31970917045"
"서울교육대학교","대학","국공립","서울","1745980280","1591447000","13864500","140668780","1082326940","264586000","184857500","284020440","","348863000","2828307220"
"서울대학교","대학","국공립","서울","37454479450","20212158500","228194000","17014126950","14196861379","6911640000","2911005220","3562417810","","811798349","51651340829"
"서울시립대학교","대학","국공립","서울","9812732655","8949635805","21145910","841950940","5022572974","1349497180","725942250","1852131425","","1095002119","14835305629"
"순천대학교","대학","국공립","전남","14446626930","14075509880","66203400","304913650","4659677010","2192590000","1272277500","308498490","","886311020","19106303940"
"안동대학교","대학","국공립","경북","13597573470","13022859570","96959020","477754880","3806592020","2202820800","909065870","309806830","","384898520","17404165490"
"울산과학기술원","대학","국공립","울산","4247645020","4021004060","570960","226070000","8184279914","5541549000","153112800","124113720","","2365504394","12431924934"
"인천대학교","대학","국공립","인천","25006262619","24086356982","82798470","837107167","11299633352","4267900334","2404695961","2195937650","","2431099407","36305895971"
"전남대학교","대학","국공립","광주","36108999410","34194429910","31609780","1882959720","12562402184","6385075180","3454478500","653694790","","2069153714","48671401594"
"전북대학교","대학","국공립","전북","34089430415","32045578055","346541170","1697311190","13019097600","4602297000","3174072885","1317205235","","3925522480","47108528015"
"전주교육대학교","대학","국공립","전북","1398340260","1246299260","83585560","68455440","519971680","234617000","158773500","20449180","","106132000","1918311940"
"제주대학교","대학","국공립","제주","21737403930","17743928720","2835573220","1157901990","5879455440","1687331500","1822585450","1156783890","","1212754600","27616859370"
"진주교육대학교","대학","국공립","경남","2198325660","2083650260","","114675400","1068953090","269765600","228719300","75392190","","495076000","3267278750"
"창원대학교","대학","국공립","경남","14193847550","13746612000","17882800","429352750","5912631570","2127119600","1253544200","989466500","","1542501270","20106479120"
"청주교육대학교","대학","국공립","충북","1432292260","1230273360","1526400","200492500","884452700","349180000","230977500","95565200","","208730000","2316744960"
"춘천교육대학교","대학","국공립","강원","1990015000","1959839000","","30176000","643206650","299440000","129030000","74376650","","140360000","2633221650"
"충남대학교","대학","국공립","대전","28664194180","27086412300","114235560","1463546320","13243424400","5249091200","3657379760","1323480590","","3013472850","41907618580"
"충북대학교","대학","국공립","충북","24718482480","23611050020","78592460","1028840000","12137334950","4604371600","2404421710","2572360580","11000000","2545181060","36855817430"
"한경대학교","대학","국공립","경기","9824727567","9647937797","9360690","167429080","4218892750","1770672730","521248310","918581190","","1008390520","14043620317"
"한국과학기술원","대학","국공립","대전","5984739680","5819994420","","164745260","21075699130","3993579860","89440000","121624000","","16871055270","27060438810"
"한국교원대학교","대학","국공립","충북","3516110550","3381108030","9040520","125962000","1894177550","292417000","616712000","840893050","","144155500","5410288100"
"한국교통대학교","대학","국공립","충북","16795873920","16471940850","32605570","291327500","6466215880","3747439720","485785000","1098362510","","1134628650","23262089800"
"한국방송통신대학교","대학","국공립","서울","11070473561","10615911981","4424600","450136980","8974938200","4325323340","596302650","885692850","","3167619360","20045411761"
"한국예술종합학교","대학","국공립","서울","3799721930","3433437430","7500000","358784500","1444585250","907915000","13124000","354019250","","169527000","5244307180"
"한국전통문화대학교","대학","국공립","충남","721953020","710953020","","11000000","555057080","417669200","2717600","50094780","","84575500","1277010100"
"한국체육대학교","대학","국공립","서울","4540956800","4410344300","17538000","113074500","2355699220","1757115500","416137500","52446220","","130000000","6896656020"
"한국해양대학교","대학","국공립","부산","12368927919","11060745359","108784560","1199398000","3147280070","1789968530","662998850","445219490","","249093200","15516207989"
"한밭대학교","대학","국공립","대전","16305201750","15886816510","18337880","400047360","5858197684","2606040964","1127458480","1272636270","","852061970","22163399434"
"가야대학교","대학","사립","경남","5382421810","5331832690","2877120","47712000","3541938713","817898500","855780250","209880540","42156000","1616223423","8924360523"
"가천대학교","대학","사립","경기","29927135964","29291787944","83883860","551464160","29340649932","6605712600","7650665550","1309865913","156250700","13618155169","59267785896"
"가톨릭관동대학교","대학","사립","강원","17109370751","16072595744","532829027","503945980","8220518323","3059333920","1176971050","516734820","219503000","3247975533","25329889074"
"가톨릭대학교","대학","사립","경기","14530307840","13561538920","81604580","887164340","10152513005","3905480780","3807529550","423265900","76686000","1939550775","24682820845"
"감리교신학대학교","대학","사립","서울","2351182648","2137765580","35820000","177597068","564291870","265735800","126258000","60188870","9329000","102780200","2915474518"
"강남대학교","대학","사립","경기","12786666000","12532476600","13394400","240795000","7656190900","2505563700","2678457490","411213910","79386800","1981569000","20442856900"
"건국대학교","대학","사립","서울","25880132980","23090101980","275255956","2514775044","22726382231","6870337385","10072037570","822509855","143076200","4818421221","48606515211"
"건국대학교(글로컬)","대학","사립","충북","15182550474","14876567404","68449590","237533480","11008538123","3476620220","2473742860","579955006","197001400","4281218637","26191088597"
"건양대학교","대학","사립","충남","16012936660","15244241270","21817600","746877790","9833705000","4816816490","2304926400","238039330","52427000","2421495780","25846641660"
"건양사이버대학교","대학","사립","대전","6421060252","6421060252","","","1293852610","152837500","4000000","14638110","16975000","1105402000","7714912862"
"경기대학교","대학","사립","경기","27213612173","26644069200","119979210","449563763","19234437343","7092020960","5397755340","1345245750","47807500","5351607793","46448049516"
"경남대학교","대학","사립","경남","22259625322","21868941142","64084770","326599410","13454775279","5114964800","2421264205","848755934","214021600","4855768740","35714400601"
"경동대학교","대학","사립","강원","15156614650","14394831840","556855910","204926900","11367537597","921980900","2385024400","32500000","103400200","7924632097","26524152247"
"경성대학교","대학","사립","부산","25786319083","25104565893","53413290","628339900","14240219807","4600403002","4188918910","1086823104","77883000","4286191791","40026538890"
"경운대학교","대학","사립","경북","11309092257","11271381557","14010700","23700000","7362643474","870812000","826890533","259173850","26910000","5378857091","18671735731"
"경일대학교","대학","사립","경북","15025253373","14868560835","7816400","148876138","8402740866","2841126940","2144844950","541607300","63040000","2812121676","23427994239"
"경주대학교","대학","사립","경북","1714900540","1683700540","","31200000","1979029810","205938000","454146000","71059810","26003000","1221883000","3693930350"
"경희대학교","대학","사립","서울","43270402124","40063062249","307528540","2899811335","35635092906","8534046995","13143374850","1087790285","355120000","12514760776","78905495030"
"경희사이버대학교","대학","사립","서울","9518756210","9494378210","1030000","23348000","5094718516","337692500","25666667","9688680","70644000","4651026669","14613474726"
"계명대학교","대학","사립","대구","47180632183","46379962483","84765570","715904130","29513224153","9344505500","7463258300","1857605045","292853800","10555001508","76693856336"
"고려대학교","대학","사립","서울","35306424962","25888234704","417356040","9000834218","30720490017","1385055200","15637200586","3976024376","549216000","9172993855","66026914979"
"고려대학교(세종)","대학","사립","세종","11485887660","11123382740","37591720","324913200","10240961171","577473600","4770790190","1143627880","154115000","3594954501","21726848831"
"고려사이버대학교","대학","사립","서울","5291797580","5253855580","768000","37174000","1993240720","382320000","112176000","2782820","36468000","1459493900","7285038300"
"고신대학교","대학","사립","부산","10021937862","9553486292","23987750","444463820","4108731616","1349727500","633117720","436250465","101837000","1587798931","14130669478"
"광신대학교","대학","사립","광주","1619493900","1594983900","","24510000","474836250","17790000","36156600","31255250","","389634400","2094330150"
"광운대학교","대학","사립","서울","12814706560","12316219160","79857650","418629750","11045439894","3185622550","2950115460","1243808384","85040400","3580853100","23860146454"
"광주가톨릭대학교","대학","사립","전남","","","","","13000000","","","","","13000000","13000000"
"광주대학교","대학","사립","광주","17444769040","17235887650","42891390","165990000","8400208750","2435628480","2288831000","135631570","154621300","3385496400","25844977790"
"광주여자대학교","대학","사립","광주","10259005700","10006101740","20806000","232097960","4523673000","1038630900","1398506945","382071535","6830000","1697633620","14782678700"
"국민대학교","대학","사립","서울","29777292987","26800560270","218460840","2758271877","19893944492","5027458910","4760230300","1659587895","61258800","8385408587","49671237479"
"국제사이버대학교","대학","사립","경기","5040492000","5040492000","","","1613684000","211189000","575716000","","145650000","681129000","6654176000"
"극동대학교","대학","사립","충북","7935744600","7819561840","7466560","108716200","5938355870","1624371700","1458896400","579865340","35894000","2239328430","13874100470"
"글로벌사이버대학교","대학","사립","충남","3150592420","3150592420","","","1226096730","7560000","5670000","2276730","6615000","1203975000","4376689150"
"금강대학교","대학","사립","충남","868396729","862896729","","5500000","2107513679","1618926000","","55298600","","433289079","2975910408"
"김천대학교","대학","사립","경북","6579370471","6454729331","6187440","118453700","4839557423","1356138533","1239832469","161757050","90189599","1991639772","11418927894"
"꽃동네대학교","대학","사립","충북","1386523633","1322447873","1553760","62522000","902897860","235780000","292538500","105264860","","269314500","2289421493"
"나사렛대학교","대학","사립","충남","13268445060","13032455540","49575120","186414400","6997786390","2955992500","1086087470","1187247940","79650000","1688808480","20266231450"
"남부대학교","대학","사립","광주","7917126260","7848006660","","69119600","3804479420","484592750","841311800","99481270","10682800","2368410800","11721605680"
"남서울대학교","대학","사립","충남","19815955840","19589548770","25452180","200954890","16514682200","5300308300","6823872490","310417010","162875850","3917208550","36330638040"
"단국대학교","대학","사립","경기","40021749733","38434400153","111987300","1475362280","29980188145","13467595190","5588247310","849876905","297473000","9776995740","70001937878"
"대구가톨릭대학교","대학","사립","경북","28201590965","27634095965","50828995","516666005","15366278259","3949182177","1243507750","3015626055","236463500","6921498777","43567869224"
"대구대학교","대학","사립","경북","42420705366","40433515726","309939650","1677249990","17645028400","7834052490","3519594905","1602039865","187337800","4502003340","60065733766"
"대구사이버대학교","대학","사립","경북","4549785250","4544552750","","5232500","988018850","130160000","2583000","5995600","26980000","822300250","5537804100"
"대구예술대학교","대학","사립","경북","2486171910","2433754950","1572960","50844000","1626086560","803866170","397086180","93948810","15620000","315565400","4112258470"
"대구한의대학교","대학","사립","경북","14505607727","13957970464","22581780","525055483","7922873748","1494233840","1012030240","805054121","93923000","4517632547","22428481475"
"대신대학교","대학","사립","경북","1564413860","1527570860","","36843000","410757550","43229500","96638330","37787720","16736000","216366000","1975171410"
"대전가톨릭대학교","대학","사립","세종","89579340","87743340","1836000","","168310000","","165310000","3000000","","","257889340"
"대전대학교","대학","사립","대전","19420602140","19160822480","19940720","239838940","12332995335","3236223500","3578523000","941267800","71213000","4505768035","31753597475"
"대전신학대학교","대학","사립","대전","531359600","507671100","","23688500","82055450","17062800","8738000","8076650","","48178000","613415050"
"대진대학교","대학","사립","경기","16876428870","16753332520","54564350","68532000","9883600046","2007847500","3283754000","330100260","128129500","4133768786","26760028916"
"덕성여자대학교","대학","사립","서울","10122012898","9589271201","221101317","311640380","6220931986","2680515084","1760706624","265338130","3019000","1511353148","16342944884"
"동국대학교","대학","사립","서울","23342673115","21376830270","136380156","1829462689","20179888395","3533014700","6657032450","2695236972","87186600","7207417673","43522561510"
"동국대학교(경주)","대학","사립","경북","15619484225","15167559807","59835854","392088564","11643836428","2736906000","2876307500","398886086","100048800","5531688042","27263320653"
"동덕여자대학교","대학","사립","서울","12093820426","11847895827","50881670","195042929","8962607020","3838480100","2378591830","939189040","14824000","1791522050","21056427446"
"동명대학교","대학","사립","부산","18843209300","18465441720","101411240","276356340","10266530807","2731034360","1816858490","687458220","191063800","4840115937","29109740107"
"동서대학교","대학","사립","부산","26304606077","25941791637","75392940","287421500","11377313720","3560798800","2324918800","982769740","89576400","4419249980","37681919797"
"동신대학교","대학","사립","전남","16420508349","16127894689","5400000","287213660","7625811836","1115383260","420474500","418767410","160904500","5510282166","24046320185"
"동아대학교","대학","사립","부산","39884061579","38669751729","151724560","1062585290","19698328827","8758077325","6481360452","1088072100","226152680","3144666270","59582390406"
"동양대학교","대학","사립","경북","8590442582","8460414842","34558740","95469000","4375643949","1354031250","1093905167","122502024","57842000","1747363508","12966086531"
"동의대학교","대학","사립","부산","34793281071","33584978851","60359120","1147943100","17423907960","6402048780","3590344740","1716618779","217167000","5497728661","52217189031"
"디지털서울문화예술대학교","대학","사립","서울","3782690500","3768248520","7421980","7020000","1771953710","134510000","113100000","17764000","13368000","1493211710","5554644210"
"루터대학교","대학","사립","경기","1093978680","1074002100","5251580","14725000","338046830","52562500","117850000","44270330","","123364000","1432025510"
"명지대학교","대학","사립","경기","27136303760","26555755070","147196299","433352391","17737730560","2985287000","3971311500","1273724030","100596000","9406812030","44874034320"
"목원대학교","대학","사립","대전","18186152021","17904776850","46178690","235196481","10672562645","2230567910","4922840630","484590930","160699500","2873863675","28858714666"
"목포가톨릭대학교","대학","사립","전남","1725787310","1571993310","7000000","146794000","525810880","397900220","45070000","8021860","","74818800","2251598190"
"배재대학교","대학","사립","대전","16557987590","16443683590","17577825","96726175","10555341182","2693876190","4145256386","612673882","109103500","2994431224","27113328772"
"백석대학교","대학","사립","충남","26290442824","25812347832","24386910","453708082","16036021328","4582813500","7133133168","191118810","178794000","3950161850","42326464152"
"부산가톨릭대학교","대학","사립","부산","10518494290","10332068820","12197970","174227500","4598782765","1435494830","1000313170","395667595","30320000","1736987170","15117277055"
"부산디지털대학교","대학","사립","부산","3785021030","3777721030","","7300000","700298320","53042500","19810000","9324420","630000","617491400","4485319350"
"부산외국어대학교","대학","사립","부산","16238611744","15767423304","23032940","448155500","8722071598","2371608500","1917603400","1071004910","63985000","3297869788","24960683342"
"부산장신대학교","대학","사립","경남","809146360","784493800","","24652560","366463462","32521000","106650000","36123562","16696000","174472900","1175609822"
"사이버한국외국어대학교","대학","사립","서울","5159299500","5151959500","","7340000","2774527836","149565000","48160000","","14310000","2562492836","7933827336"
"삼육대학교","대학","사립","서울","12835173747","12004628240","412735810","417809697","8106376015","1206246150","2496856250","1507926095","156966100","2738381420","20941549762"
"상명대학교","대학","사립","서울","22979377662","22502654802","66371902","410350958","18445892163","5948542979","6089487319","1069302415","174357600","5164201850","41425269825"
"상지대학교","대학","사립","강원","11528736200","11033606570","227928730","267200900","8049782054","2067514250","2378379860","123007300","207411000","3273469644","19578518254"
"서강대학교","대학","사립","서울","11629489672","9430116852","178046340","2021326480","10317281237","820256800","5860888755","1869557980","25110400","1741467302","21946770909"
"서경대학교","대학","사립","서울","10609977447","10446107247","68659200","95211000","8996919527","2384929499","3076181533","555530520","17922000","2962355975","19606896974"
